,UUID,Graph,label,source,Cookies,secure,session,httponly,httponly session,no httponly session
60,13901d90-4aca-4ad0-a623-05a7ba0c8f31,True,1.0,OP,1,1.0,0.0,0.0,0.0,0.0
61,1a55c90f-d484-4206-9314-7f3daf39a78a,False,1.0,OP,,,,,,
62,bcc3b5f4-6819-4279-876c-3d4755d538f0,False,1.0,OP,,,,,,
63,892d2140-566e-4357-a347-7f0e9e2233ec,False,1.0,OP,,,,,,
64,582472cf-a3a4-4985-b460-2015f52dc473,False,1.0,OP,,,,,,
65,2306b7e3-5378-4ae7-98cd-bc3af8309c6c,False,1.0,OP,,,,,,
66,1afbc174-e030-4cee-9be8-fea90dad8d20,True,1.0,OP,0,,,,,
67,e687fed1-56fd-4228-b5df-ec91ed3171cc,True,1.0,OP,0,,,,,
68,a1b9b69b-d0bb-492f-b4c6-3fbae79e0af7,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
69,0acfbbbe-4c9b-4776-a370-58a4e1d417b2,True,1.0,OP,1,0.0,0.0,0.0,0.0,0.0
70,5792039a-7fbe-49d2-a41d-98e8de8de79d,True,1.0,OP,2,0.0,1.0,0.0,0.0,1.0
71,99841f80-2003-4c80-b109-5e88cc4106f7,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
72,0f77167f-ba1e-469f-9f83-0f046e8b88a7,True,1.0,OP,0,,,,,
73,e5fa20ea-e6f6-4eff-a8ba-e3c8380537e7,True,1.0,OP,0,,,,,
74,ae9823ff-05cc-42d2-84ec-2d14809fb575,True,1.0,OP,2,0.0,1.0,1.0,1.0,1.0
75,e55619b5-a510-48a9-aedb-df5a6f1b0c90,True,1.0,OP,2,0.0,1.0,0.0,0.0,2.0
76,537ae312-e60b-4a8f-abdd-5c5592aaa185,True,1.0,OP,0,,,,,
77,e3ac0fe7-c029-4996-bc9f-b462c03e6f87,True,1.0,OP,0,,,,,
78,77db2b92-04fb-4895-aa07-6c393f12b5c4,True,1.0,OP,0,,,,,
79,4288762b-e4d4-4d8e-8a95-20db49ffb42a,True,1.0,OP,0,,,,,
80,017bbf82-2777-4036-9c89-88556abe41ab,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
81,2c30599e-4714-44d9-be85-3b1a4b602a86,True,1.0,OP,0,,,,,
82,8cf5b65f-ce2b-4038-8162-6b97aee47a46,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
83,d657cbc3-3ecc-4185-a2a0-3f8540a1adac,True,1.0,OP,1,0.0,0.0,1.0,0.0,0.0
84,234301a8-2cde-46e4-bf75-8523ba675eee,True,1.0,OP,0,,,,,
85,22ffd44c-1cc7-44cd-84ad-52bbdb525f06,True,1.0,OP,0,,,,,
86,27282b8d-9161-4b60-9bff-587228434ed0,True,1.0,OP,0,,,,,
87,dfb75856-ac17-4551-8d6d-55bb1923e238,True,1.0,OP,0,,,,,
88,dc43d3a1-9154-4164-a705-50afddbbee86,True,1.0,OP,0,,,,,
89,d06ce914-3b60-4627-8d34-e58265870d90,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
90,b10ae069-2106-4720-bc7f-21d15a49ae34,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
91,57d4a448-ad31-4af1-b0de-d16f96e31dee,True,1.0,OP,0,,,,,
92,0c180c32-e70e-4672-bd0e-febad35ee5fd,False,1.0,OP,,,,,,
93,fe916231-47a3-41f8-aee2-1f4ab699a08e,True,1.0,OP,0,,,,,
94,f4bbb863-7779-45d6-9a2a-64823c573706,True,1.0,OP,2,0.0,0.0,0.0,0.0,0.0
95,efd5f19e-74df-40fd-ad66-768148d8ba63,True,1.0,OP,0,,,,,
96,55208548-ed71-472c-a9be-e01b7a5ef312,True,1.0,OP,0,,,,,
