UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly
f0a15b50-42a1-4d32-93f6-f46598583e39,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,440.0,436.0,http://109.109.104.10/webshop2/,0.0,0.0,0.0
70125572-d88f-4aed-bfec-449b2f9fa578,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,196.0,436.0,http://109.109.104.10/webshop2/Login.aspx,0.0,0.0,1.0
a347923c-a504-4a41-8e86-8b35c32140c8,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,196.0,436.0,http://109.109.104.10/webshop2/Login.aspx?_route_=webshop,0.0,0.0,1.0
11aacb1c-a5e5-42a7-b24d-18eeb84e0069,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,196.0,436.0,http://109.109.104.10/webshop2/Login.aspx?ReturnUrl=%2Fwebshop2%2F,0.0,0.0,1.0
1cb9e4f3-f928-4ce4-8e3f-9831e4b6e9cb,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,196.0,436.0,http://109.109.104.10/webshop2/Login.aspx?ReturnUrl=%2Fwebshop2%2Fhome.aspx,0.0,0.0,1.0
ef4cc04a-0f77-40bc-b28f-96925f41458b,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,http://109.109.105.10/robots.txt,0.0,0.0,0.0
024391e7-fb37-4863-8d6b-45dcd81464d4,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,29.0,25.0,0.0,0.0,28.0,88.0,8.0,8.0,6.0,4.0,930.0,1484.0,http://109.109.105.10/webshop2/login.aspx?returnurl=%2Fwebshop2%2F,1.0,0.0,1.0
259087a6-5e17-4f4b-9c0c-fcf5470d9e8d,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,31.0,31.0,http://200.67.105.10/almacensa/metso.aspx,0.0,0.0,0.0
68633638-8c4d-4286-afa6-173852785acf,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,http://200.67.105.10/robots.txt,0.0,0.0,0.0
49ff62b7-34ab-4e7a-a9c8-8bad600cdb14,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,38.0,58.0,0.0,0.0,7.0,50.0,4.0,5.0,4.0,3.0,5092.0,5098.0,http://23.96.105.10:8069/,5.0,0.0,0.0
fd528274-ed29-4d66-9526-6197953ac374,0.0,CC,,,,,,,,,,,,,,,2.0,0.0,1.0,1.0,24.0,17.0,0.0,0.0,24.0,75.0,4.0,4.0,4.0,2.0,1869.0,1873.0,http://23.96.105.10:8069/contacto,2.0,0.0,0.0
1ee92de6-81b5-4e6a-b456-11339a27d5d9,0.0,CC,,,,,,,,,,,,,,,2.0,0.0,1.0,1.0,24.0,15.0,0.0,0.0,20.0,67.0,3.0,3.0,3.0,2.0,1870.0,1874.0,http://23.96.105.10:8069/faq,2.0,0.0,0.0
9257cf4a-5a8d-44e4-9f25-33a899d15430,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,http://23.96.105.10:8069/robots.txt,0.0,0.0,0.0
69601a1c-5fbd-40a4-9d9a-0bdb8e07a1ae,0.0,CC,,,,,,,,,,,,,,,2.0,0.0,1.0,1.0,24.0,17.0,0.0,0.0,18.0,67.0,3.0,3.0,3.0,2.0,1963.0,1967.0,http://23.96.105.10:8069/ya-estas-listo,2.0,0.0,0.0
3df358d6-79c6-4c0a-8094-41c15a0f92b4,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,http://206.230.106.10/robots.txt,0.0,0.0,0.0
8cefe8d8-ff29-461a-a59d-7979ce52d222,0.0,CC,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,83.0,58.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,443.0,461.0,http://206.230.106.10/weblink/0/doc/439131/Page1.aspx,2.0,0.0,1.0
4f855911-17b7-4150-b868-ca3412013086,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,54.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,238.0,319.0,http://206.230.106.10/weblink/Browse.aspx?dbid=0,2.0,0.0,0.0
