UUID,label,source,folder,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive
24e09109-1a9c-447f-b06b-a657054c3c87,1.0,PT,20200827,4.0,0.0,0.0,100.0,86.0,6.0,6.0,5.0,3.0,101.0,319.0,4.0,https://vww.bcpviabetazonasegura.com/,0.0,50.0,0.0,1.0,0.0,0.0,42.0,6.0,0.0,7.0,12.0,2.0,10.0,0.0,0.0,0.0,94.0,62.0,32.0,Hola | Bienvenido,0.0
6dcbf7bc-25d1-4bbc-b3ba-241f46bcbce7,1.0,PT,20200827,1.0,0.0,0.0,100.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,https://vww.bcpviabetazonasegura.com/.pe/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Not Found,0.0
316fb579-03c1-4250-bf50-9b773ad1982e,1.0,PT,20200827,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,72.0,280.0,0.0,http://mobile-summary.aba.vg/,2.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,4.0,3.0,1.0,2.0,5.0,1.0,54.0,29.0,25.0,facebook,1.0
c5eb07f3-3f86-459e-a3df-18118a4ab48e,1.0,PT,20200827,19.0,0.0,0.0,100.0,0.0,1.0,1.0,2.0,1.0,283.0,577.0,1.0,https://vww.bcpviabetazonasegura.com/.pe/iniciar-sesion,0.0,18.0,0.0,1.0,0.0,0.0,65.0,41.0,0.0,0.0,13.0,2.0,11.0,2.0,10.0,0.0,168.0,66.0,102.0,,1.0
6a0dd84e-0f5e-4ac6-8c09-948811358773,1.0,PT,20200827,6.0,0.0,0.0,33.0,67.0,3.0,3.0,3.0,2.0,33.0,33.0,0.0,http://obscure-headland-14472.herokuapp.com/,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,5.0,0.0,21.0,14.0,7.0, Login in to your PayPal account ,0.0
e924d770-0162-4902-8398-4715d2cce74a,1.0,PT,20200827,33.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,77.0,92.0,0.0,http://login.rakuten.co.jp.rakutenamsdnwwefklsdf.xyz/,0.0,3.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,15.0,11.0,9.0,2.0,1.0,21.0,0.0,152.0,129.0,23.0,ã€æ¥½å¤©ã€‘ãƒ­ã‚°ã‚¤ãƒ³,1.0
88e23393-81c8-4513-9e46-9fdd55220098,1.0,PT,20200827,6.0,0.0,0.0,100.0,0.0,1.0,1.0,2.0,1.0,216.0,416.0,0.0,https://dhl.express-zmenka.tracking.prices-day.com/,0.0,7.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,71.0,45.0,26.0,| Welcome |,0.0
61dd2948-f7d2-4db2-a053-acd01cee2553,1.0,PT,20200827,36.0,0.0,0.0,17.0,0.0,5.0,7.0,6.0,6.0,1037.0,1071.0,5.0,http://depo.interac.ca.e10adag34vhost110644.lowhost.ru/ID344/m/sco/,10.0,162.0,0.0,2.0,0.0,0.0,74.0,9.0,0.0,16.0,34.0,16.0,18.0,5.0,23.0,0.0,250.0,163.0,87.0,Sign in to Scotiabank Digital Banking Services,1.0
364f1279-720f-491f-bfc5-295b80e385f7,1.0,PT,20200827,20.0,0.0,0.0,95.0,0.0,2.0,2.0,2.0,2.0,635.0,917.0,0.0,https://depo.interac.ca.e10adag34vhost110644.lowhost.ru/ID344/m/sco/,0.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
5bdb7a39-9972-4302-83b0-5393b40a56f9,1.0,PT,20200827,28.0,0.0,0.0,100.0,50.0,4.0,4.0,4.0,2.0,399.0,787.0,1.0,https://www.sexologistdoctors.com/wp-content/plugins/c8OwDoeFa3023jxTL23h4L7gWle1DK1x/45extracted/chronopost.fr/suivi/accueil/yyjq4mtg=/ifram2.php?Code_Smserror_tapnovcodeSms,8.0,20.0,0.0,1.0,0.0,0.0,53.0,9.0,1.0,49.0,7.0,5.0,2.0,2.0,5.0,0.0,338.0,284.0,54.0,Accueil Chronopost.fr,1.0
500f92ef-b870-4c63-94e3-9ffc82e91ff8,1.0,PT,20200827,12.0,0.0,0.0,25.0,67.0,3.0,3.0,3.0,3.0,157.0,428.0,0.0,http://thapthan.ac.th/information/confirmation/110dpbox/page/42504913e81c7e2f82e493c1be09390e/,0.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,40.0,17.0,23.0,Dropbox,1.0
6fa68389-fab4-4c50-afd3-4182fbb875da,1.0,PT,20200827,6.0,0.0,0.0,100.0,67.0,3.0,3.0,3.0,2.0,33.0,33.0,0.0,https://obscure-headland-14472.herokuapp.com/,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,5.0,0.0,21.0,14.0,7.0, Login in to your PayPal account ,0.0
68d054e8-4f99-4052-b85f-0172a6df39d2,1.0,PT,20200827,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://online-banking-login1.xyz/Safe&amp;Secure-Online-Bank-Login,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,404 Not Found,0.0
71b9dc98-ff47-4013-8fce-1e959cb0ab03,1.0,PT,20200827,42.0,0.0,0.0,17.0,67.0,6.0,7.0,7.0,4.0,491.0,759.0,2.0,http://twitterhelp.epizy.com/?i=1,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
60769cfd-b231-48bf-acd5-23e46ae77f25,1.0,PT,20200827,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,34.0,37.0,1.0,http://www.faceboukii.epizy.com/?id=facebookmobile&amp;i=1,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,0.0,62.0,30.0,32.0,Welcome to Facebook,1.0
