Ad-blocked,Cookies,Countries,Domains,HTTPS,IPs,IPv6,JSGlobalVar,Malicious,No-class Tags,OutGoingLinks,Requests,Size,Subdomains,Tags,Title,Transfer,URL,UUID,a,button,class Tags,div,external_script,folder,form,hash_value,httponly,iframe,img,input,internal_script,label,script,secure,sensitive,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4,sensitive_case5,sensitive_case6,session,session & httponly,source,span,textarea
0.0,0.0,4.0,11.0,0.0,8.0,14.0,221.0,0.0,110.0,4.0,49.0,3183.0,12.0,170.0,Welcome to Facebook,941.0,http://strefaurodysklep.pl/,1aed0ce5-a22a-44f6-8e78-13b0895a1a42,7.0,3.0,60.0,37.0,40.0,20200828.0,1.0,0c6dc547c8f774a10562fe764697f1c6ca38c32a,0.0,2.0,6.0,12.0,17.0,1.0,57.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,PT,9.0,0.0
0.0,0.0,2.0,2.0,100.0,2.0,50.0,1.0,0.0,71.0,0.0,22.0,3476.0,2.0,100.0,Sign in to your account,1356.0,https://pineapplequark.com/ikkta2ca/,041dd619-ec49-48fa-a413-25f07ab8acd8,4.0,0.0,29.0,41.0,0.0,20200828.0,2.0,2f17b84100e4f11ceebd53fffb1b28f80f90b1a1,0.0,1.0,3.0,22.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,1.0,0.0
0.0,1.0,1.0,1.0,100.0,1.0,0.0,135.0,0.0,76.0,0.0,15.0,195.0,1.0,83.0,Welcome to our Online Banking Services,72.0,https://haajidibae.com/login.php,502268f4-ce4b-4e9c-91c5-08d67d1a41ba,2.0,0.0,7.0,0.0,5.0,20200828.0,1.0,963438607cc57e50bbd310402c4cb108d7f8756f,0.0,0.0,2.0,3.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,PT,3.0,0.0
0.0,1.0,1.0,1.0,100.0,1.0,0.0,135.0,0.0,123.0,0.0,15.0,197.0,1.0,141.0,Welcome to our Online Banking Services,71.0,https://haajidibae.com/create_acct.php,acd0b41b-bc2d-40cd-818f-9116904a70ee,1.0,0.0,18.0,0.0,5.0,20200828.0,1.0,39fd6d7403778f40070f7777bb0018396e9eb8f2,0.0,0.0,2.0,12.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,PT,4.0,0.0
0.0,0.0,2.0,3.0,22.0,3.0,33.0,3.0,0.0,29.0,0.0,9.0,1893.0,3.0,36.0,Sign in - chase.com,1841.0,http://kingofliferadio.org/chase/chase/view/login.php?cmd=login_submit&amp;id=cc79c35941913b60bd70cd735497be07cc79c35941913b60bd70cd735497be07&amp;session=cc79c35941913b60bd70cd735497be07cc79c35941913b60bd70cd735497be07,20fd0a4d-f06e-492b-868e-94b391792f99,3.0,0.0,7.0,9.0,1.0,20200828.0,1.0,baab714e079b975c3ea944e16d9d00751152aa68,0.0,0.0,4.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,0.0,0.0
0.0,0.0,2.0,3.0,22.0,3.0,33.0,3.0,0.0,29.0,0.0,9.0,1893.0,3.0,36.0,Sign in - chase.com,1841.0,http://kingofliferadio.org/chase/chase/,b8b4248d-bf1c-4769-8941-969465ce1357,3.0,0.0,7.0,9.0,1.0,20200828.0,1.0,baab714e079b975c3ea944e16d9d00751152aa68,0.0,0.0,4.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,0.0,0.0
0.0,0.0,2.0,3.0,22.0,3.0,33.0,3.0,0.0,29.0,0.0,9.0,1893.0,3.0,36.0,Sign in - chase.com,1841.0,http://kingofliferadio.org/chase/chase/view/login.php?userid=,cc4d3e4d-e893-488f-8302-ac1121d2b8af,3.0,0.0,7.0,9.0,1.0,20200828.0,1.0,baab714e079b975c3ea944e16d9d00751152aa68,0.0,0.0,4.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,0.0,0.0
0.0,1.0,3.0,8.0,100.0,8.0,71.0,8.0,0.0,36.0,0.0,13.0,3122.0,10.0,73.0,OneDrive | Login,2597.0,https://asdwergfb.gb.net/fetb4gev3/?gvbth55hy5=68677hh,d5885bff-b989-4064-b7f3-a081b302b6c9,1.0,4.0,37.0,23.0,8.0,20200828.0,1.0,2b9f37d274f7817259d6591e66f6e8b8cb314816,0.0,0.0,3.0,2.0,1.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,PT,7.0,0.0
0.0,1.0,1.0,1.0,100.0,1.0,0.0,5.0,0.0,159.0,0.0,37.0,341.0,1.0,241.0,Log on to Online Banking: Username | HSBC,171.0,https://remove-gb.cc/hsbc/,0aceafdb-2e63-410d-9cd8-b97b4b2f533c,43.0,0.0,82.0,71.0,0.0,20200828.0,1.0,698cfa0b3b57cb1dbeae84e1a16c1595ea55adb2,0.0,0.0,9.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,PT,12.0,0.0
0.0,2.0,1.0,1.0,100.0,2.0,0.0,8.0,0.0,63.0,4.0,16.0,604.0,1.0,102.0,Claim a tax refund - GOV.UK,413.0,https://ref.forms-return02.com/start.php?id=2097aed8ce29f0348c180dc6a6aa1ce32097aed8ce29f0348c180dc6a6aa1ce3&session=2097aed8ce29f0348c180dc6a6aa1ce32097aed8ce29f0348c180dc6a6aa1ce3,0c8e34ff-40c4-4b3f-b539-3140f30b3bca,12.0,1.0,39.0,20.0,5.0,20200828.0,1.0,3c5b948c409378be71c1f400edbe66ba44a985db,0.0,1.0,1.0,5.0,8.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,PT,4.0,0.0
