UUID,label,source,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive
736cfb07-6ff9-4bd2-b77d-313e6fe41502,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultGP-1346.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
0d3fdc03-e08c-42ca-81ce-9f265d26679e,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultHK-2220.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
c61302e0-e68e-490b-a5d7-6fc44125bee9,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultSD-765.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
b55890d7-e0b8-4c6f-b90a-a8327d3e9244,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultSG-1838.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
c0b3f249-c12a-430a-9d14-efbba2416a05,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultTRD-641.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
1247fa02-e445-44ec-9848-4eccdf5e241c,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultTRE-640.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
70ec1540-928a-4b91-8e32-9f645d81c705,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultTRM-641.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
6f53c5f7-5008-4611-8cf6-e9eb0cbe3482,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,http://206.189.95.117/member.detilresultTRN-640.php,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Page Not Found,0.0
f50b4e77-c636-414d-af2e-baca28d62bb7,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,0.0,http://206.189.95.117/pasaran-p1.php,12.0,16.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
65b86fbb-f22a-43e8-a101-001b3012844c,0.0,CC,27.0,0.0,0.0,7.0,50.0,2.0,2.0,2.0,2.0,358.0,1048.0,6.0,http://206.189.95.117/pasaran-p15.php,12.0,16.0,0.0,3.0,0.0,0.0,24.0,6.0,0.0,214.0,16.0,11.0,5.0,1.0,5.0,0.0,1350.0,1312.0,38.0," | CERIA4D Bandar Agen Togel Online Aman Terpercaya """,1.0
